time,z,air_pressure_at_mean_sea_level,air_pressure_at_mean_sea_level_qc_agg,dew_point_temperature,dew_point_temperature_qc_agg,air_temperature,air_temperature_qc_agg,visibility_in_air,visibility_in_air_qc_agg,wind_speed_of_gust,wind_speed_of_gust_qc_agg,wind_speed,wind_speed_qc_agg,wind_from_direction,wind_from_direction_qc_agg
UTC,m,millibars,,degree_Celsius,,degree_Celsius,,m,,m.s-1,,m.s-1,,degrees,
2022-07-11T21:53:00Z,0.0,1012.5,2,23.9,2,30.0,2,16093.44,2,NaN,2,5.1444444444,2,230.0,2
2022-07-11T22:53:00Z,0.0,1012.8,2,22.8,2,30.0,2,16093.44,2,9.26,2,5.6588888889,2,220.0,2
2022-07-11T23:53:00Z,0.0,1013.1,2,23.9,2,29.4,2,16093.44,2,NaN,2,5.1444444444,2,230.0,2
2022-07-12T00:53:00Z,0.0,1013.4,2,23.3,2,28.9,2,16093.44,2,NaN,2,4.63,2,240.0,2
2022-07-12T01:53:00Z,0.0,1014.3,2,23.9,2,28.9,2,16093.44,2,NaN,2,4.1155555556,2,260.0,2
2022-07-12T02:53:00Z,0.0,1014.9,2,23.9,2,28.9,2,16093.44,2,NaN,2,2.5722222222,2,250.0,2
2022-07-12T03:53:00Z,0.0,1014.7,2,23.9,2,28.9,2,16093.44,2,NaN,2,2.5722222222,2,220.0,2
2022-07-12T04:53:00Z,0.0,1014.4,2,23.9,2,28.9,2,16093.44,2,NaN,2,1.5433333333,2,220.0,2
2022-07-12T05:44:00Z,0.0,NaN,2,24.4,2,28.3,2,16093.44,2,NaN,2,2.0577777778,2,230.0,2
2022-07-12T05:53:00Z,0.0,1013.9,2,24.4,2,28.9,2,16093.44,2,NaN,2,3.0866666667,2,220.0,2
2022-07-12T06:28:00Z,0.0,NaN,2,23.9,2,28.9,2,16093.44,2,NaN,2,3.0866666667,2,230.0,2
2022-07-12T06:53:00Z,0.0,1014.0,2,23.9,2,28.9,2,16093.44,2,NaN,2,2.0577777778,2,220.0,2
2022-07-12T07:53:00Z,0.0,1013.4,2,23.9,2,26.1,2,16093.44,2,NaN,2,2.5722222222,2,130.0,2
2022-07-12T08:53:00Z,0.0,1013.4,2,23.9,2,25.6,2,16093.44,2,NaN,2,3.0866666667,2,140.0,2
2022-07-12T09:53:00Z,0.0,1013.4,2,23.9,2,25.6,2,16093.44,2,NaN,2,2.0577777778,2,140.0,2
2022-07-12T10:53:00Z,0.0,1013.6,2,23.9,2,25.6,2,16093.44,2,NaN,2,2.5722222222,2,140.0,2
2022-07-12T11:53:00Z,0.0,1014.3,2,24.4,2,26.7,2,16093.44,2,NaN,2,2.0577777778,2,150.0,2
2022-07-12T12:53:00Z,0.0,1014.8,2,24.4,2,29.4,2,16093.44,2,NaN,2,3.0866666667,2,160.0,2
2022-07-12T13:53:00Z,0.0,1015.3,2,23.3,2,30.6,2,16093.44,2,NaN,2,4.63,2,210.0,2
2022-07-12T14:53:00Z,0.0,1015.7,2,23.3,2,30.6,2,16093.44,2,NaN,2,5.6588888889,2,220.0,2
2022-07-12T15:53:00Z,0.0,1016.0,2,23.9,2,31.7,2,16093.44,2,NaN,2,4.1155555556,2,210.0,2
2022-07-12T16:53:00Z,0.0,1016.1,2,23.9,2,32.2,2,16093.44,2,NaN,2,5.6588888889,2,210.0,2
2022-07-12T17:53:00Z,0.0,1015.9,2,23.9,2,32.2,2,16093.44,2,NaN,2,5.1444444444,2,220.0,2
2022-07-12T18:53:00Z,0.0,1015.6,2,23.3,2,32.2,2,16093.44,2,NaN,2,6.1733333333,2,210.0,2
