COOPID, YEAR, MONTH, DAY, PRECIPITATION, MAX TEMP, MIN TEMP, MEAN TEMP
80945,2015,1,1,0.00000,74.00000,60.00000, 
80945,2015,1,2,0.00000,78.00000,64.00000, 
80945,2015,1,3,0.00000,85.00000,70.00000, 
80945,2015,1,4,0.00000,83.00000,69.00000, 
80945,2015,1,5,0.00000,75.00000,61.00000, 
80945,2015,1,6,0.00000,78.00000,56.00000, 
80945,2015,1,7,0.00000,66.00000,50.00000, 
80945,2015,1,8,0.00000,61.00000,40.00000, 
80945,2015,1,9,0.00000,59.00000,48.00000, 
80945,2015,1,10,0.00000,65.00000,45.00000, 
80945,2015,1,11,0.00000,81.00000,52.00000, 
80945,2015,1,12,0.34000,78.00000,64.00000, 
80945,2015,1,13,0.00000,78.00000,62.00000, 
80945,2015,1,14,0.00000,67.00000,60.00000, 
80945,2015,1,15,0.00000,62.00000,55.00000, 
80945,2015,1,16,0.00000,65.00000,51.00000, 
80945,2015,1,17,0.00000,74.00000,47.00000, 
80945,2015,1,18,0.00000,74.00000,47.00000, 
80945,2015,1,19,0.00000,74.00000,47.00000, 
80945,2015,1,20,0.00000,71.00000,52.00000, 
80945,2015,1,21,0.00000,78.00000,53.00000, 
80945,2015,1,22,0.00000,80.00000,60.00000, 
80945,2015,1,23,1.70000,80.00000,64.00000, 
80945,2015,1,24,0.64000,71.00000,52.00000, 
80945,2015,1,25,0.00000,65.00000,46.00000, 
80945,2015,1,26,0.02000,67.00000,55.00000, 
80945,2015,1,27,0.00000,67.00000,46.00000, 
80945,2015,1,28,0.00000,61.00000,48.00000, 
80945,2015,1,29,0.00000,70.00000,43.00000, 
80945,2015,1,30,0.00000,72.00000,46.00000, 
80945,2015,1,31,0.00000,72.00000,45.00000, 
80945,2015,2,1,0.00000,76.00000,52.00000, 
80945,2015,2,2,0.09000,76.00000,54.00000, 
80945,2015,2,3,0.00000,68.00000,43.00000, 
80945,2015,2,4,0.00000,74.00000,53.00000, 
80945,2015,2,5,1.59000,67.00000,47.00000, 
80945,2015,2,6,0.00000,67.00000,49.00000, 
80945,2015,2,7,0.00000,71.00000,48.00000, 
80945,2015,2,8,0.00000,76.00000,50.00000, 
